EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
302,2013-10-04:00:55,Accident-ambulance rolling,405,1,33.687884,-117.914545
615,2013-10-04:06:17,Accident-property damage,405,0,33.844972,-118.268763
16,2013-10-04:06:20,Accident-property damage,405,0,33.844972,-118.268763
638,2013-10-04:06:28,Hit and Run-no injuries,405,1,34.201261,-118.473583
640,2013-10-04:06:31,Accident-no details,405,1,34.186646,-118.474262
23,2013-10-04:06:34,Accident-no details,405,1,34.186646,-118.474262
62,2013-10-04:07:22,Accident-no details,405,1,33.708564,-117.958438
780,2013-10-04:07:34,Accident-property damage,405,1,33.988419,-118.405107
90,2013-10-04:07:41,Accident-no details,405,1,33.774159,-118.049783
93,2013-10-04:07:43,Accident-no details,405,1,33.756658,-118.019335
104,2013-10-04:08:01,Hit and Run-no injuries,405,1,33.722213,-117.974756
12,2013-10-04:08:04,Accident-property damage,405,1,33.722213,-117.974756
68,2013-10-04:08:43,Accident-property damage,405,0,33.859953,-118.309145
1081,2013-10-04:08:57,Hit and Run-no injuries,405,1,33.825153,-118.218579
1073,2013-10-04:09:00,Accident-ambulance rolling,405,1,34.172117,-118.46771
1075,2013-10-04:09:00,Accident-no details,405,1,34.221381,-118.473302
1076,2013-10-04:09:00,Accident-ambulance rolling,405,1,34.186646,-118.474262
1173,2013-10-04:09:27,Accident-ambulance rolling,405,1,34.201261,-118.473583
1352,2013-10-04:10:15,Accident-no details,405,0,33.891063,-118.361306
1436,2013-10-04:10:43,Accident-minor injuries,405,0,34.024858,-118.428356
206,2013-10-04:11:11,Accident-property damage,405,0,33.687437,-117.872002
1536,2013-10-04:11:14,Accident-no details,405,1,34.088594,-118.475404
219,2013-10-04:11:23,Hit and Run-no injuries,405,0,33.6518,-117.760842
1810,2013-10-04:12:31,Accident-no details,405,1,34.031657,-118.426656
1960,2013-10-04:13:07,Accident-property damage,405,1,33.831736,-118.256083
2116,2013-10-04:13:42,Accident-no details,405,1,34.055739,-118.452239
337,2013-10-04:14:17,Accident-no details,405,1,33.675285,-117.840745
337,2013-10-04:14:17,Accident-no details,405,0,33.67851,-117.84166
2319,2013-10-04:14:35,Accident-ambulance rolling,405,0,33.987849,-118.399044
2319,2013-10-04:14:35,Accident-ambulance rolling,405,1,34.00293,-118.411254
2316,2013-10-04:14:36,Accident-ambulance rolling,405,1,33.989533,-118.400713
2329,2013-10-04:14:37,Accident-ambulance rolling,405,1,34.005972,-118.413666
214,2013-10-04:14:39,Accident-ambulance rolling,405,0,33.987849,-118.399044
2337,2013-10-04:14:39,Accident-property damage,405,1,34.055739,-118.452239
2364,2013-10-04:14:43,Accident-no details,405,1,33.886552,-118.355412
219,2013-10-04:14:47,Accident-no details,405,1,33.886552,-118.355412
416,2013-10-04:15:26,Accident-property damage,405,1,33.774849,-118.086326
61,2013-10-04:15:29,Accident-property damage,405,1,33.774246,-118.071496
470,2013-10-04:16:23,Hit and Run-no injuries,405,0,33.700405,-117.946224
2881,2013-10-04:16:40,Accident-no details,405,1,34.233558,-118.472957
2881,2013-10-04:16:40,Accident-no details,405,1,34.25727,-118.472339
300,2013-10-04:16:41,Accident-no details,405,1,34.25727,-118.472339
303,2013-10-04:16:43,Accident-no details,405,1,34.233558,-118.472957
2934,2013-10-04:16:48,Accident-property damage,405,1,34.038994,-118.439912
2934,2013-10-04:16:48,Accident-no details,405,1,34.028326,-118.431305
491,2013-10-04:16:49,Accident-property damage,405,0,33.73675,-117.994969
311,2013-10-04:16:52,Accident-no details,405,1,34.028326,-118.431305
89,2013-10-04:17:06,Accident-property damage,405,1,33.657282,-117.777623
519,2013-10-04:17:17,Hit and Run-no injuries,405,1,33.774271,-118.078171
98,2013-10-04:17:22,Accident-property damage,405,1,33.774271,-118.078171
